Nom,Lien Profil,Image,Traits,Tags,Anime Associé,Manga Associé
Rem,https://www.anime-planet.com/characters/rem,https://cdn.anime-planet.com/characters/primary/rem-1-190x266.jpg?t=1625965731,"Female, Multicolored Hair","Agent of the Afterlife, Bandages, Immortal, Shinigami, Wings",Death Note,Death Note
Darkness,https://www.anime-planet.com/characters/darkness-konosuba-gods-blessing-on-this-wonderful-world,https://cdn.anime-planet.com/characters/primary/darkness-konosuba-gods-blessing-on-this-wonderful-world-1-190x266.jpg?t=1625993830,"Female, Blonde Hair","Armor, Gloves, Knight, Masochistic, Ponytail, Sword Fighter, Teenager",Isekai Quartet,KonoSuba: An Explosion on this Wonderful World!
Koneko TOUJOU,https://www.anime-planet.com/characters/koneko-toujou,https://cdn.anime-planet.com/characters/primary/koneko-toujou-1-190x266.jpg?t=1625975959,"Female, White Hair","Demon, High School Student, Kuudere, Stoic, Teenager",High School DxD,High School DxD
Kyouko HORI,https://www.anime-planet.com/characters/kyouko-hori,https://cdn.anime-planet.com/characters/primary/kyouko-hori-1-190x266.jpg?t=1625980460,"Female, Brown Hair","High School Student, Teenager",Horimiya,Horimiya
Houtarou OREKI,https://www.anime-planet.com/characters/houtarou-oreki,https://cdn.anime-planet.com/characters/primary/houtarou-oreki-1-190x266.jpg?t=1625977545,"Male, Brown Hair","Analytical, High School Student, Lazy, Teenager",Hyouka,Hyouka
Kagome HIGURASHI,https://www.anime-planet.com/characters/kagome-higurashi,https://cdn.anime-planet.com/characters/primary/kagome-higurashi-1-190x266.jpg?t=1625965778,"Female, Black Hair","Archer, Broken Record, High School Student, Person in a Strange World, Teenager, Time Traveler, Traveler",InuYasha,3.11 wo Wasurenai Tame ni: Heroes Comeback
Iruka UMINO,https://www.anime-planet.com/characters/iruka-umino,https://cdn.anime-planet.com/characters/primary/iruka-umino-1-285x399.webp?t=1725330031,"Male, Brown Hair","Adult, Headband, Ninja, Orphan, Teacher",Boruto: Naruto Next Generations,Boruto: Naruto the Movie Tokubetsu Bangai-hen - Naruto ga Hokage ni Natta Hi
Yin,https://www.anime-planet.com/characters/yin,https://cdn.anime-planet.com/characters/primary/yin-1-190x266.jpg?t=1625966544,"Female, Grey Hair","Blind, Disabled, Hair Ribbons, Pianist, Ponytail, Psychic Powers, Stoic, Superpowers",Darker than Black,Darker Than Black
Takashi KOMURO,https://www.anime-planet.com/characters/takashi-komuro,https://cdn.anime-planet.com/characters/primary/takashi-komuro-1-190x267.jpg?t=1625967555,"Male, Brown Hair","High School Student, Teenager",Highschool of the Dead,Gakuen Mokushiroku: Highschool of the Head
Haruki NAKAYAMA,https://www.anime-planet.com/characters/haruki-nakayama-given,https://cdn.anime-planet.com/characters/primary/haruki-nakayama-given-1-190x266.jpg?t=1626012937,"Male, Blonde Hair","Adult, Band Member, Bassist, Bisexual, Facial Hair, LGBT+, Musician, Part Time Employee, Smoker, University Student",Given,Given
Atsushi NAKAJIMA,https://www.anime-planet.com/characters/atsushi-nakajima,https://cdn.anime-planet.com/characters/primary/atsushi-nakajima-1-190x266.jpg?t=1626002782,"Male, Grey Hair","Gloves, Orphan, Shapeshifter, Superpowers, Suspenders, Teenager",Bungo Stray Dogs,Bungo Stray Dogs
Hanako,https://www.anime-planet.com/characters/hanako-toilet-bound-hanako-kun,https://cdn.anime-planet.com/characters/primary/hanako-toilet-bound-hanako-kun-1-279x392.webp?t=1639538100,"Male, Black Hair","Ghost, Hat, Knife Fighter, Mischievous, Twin",After-school Hanako-kun,After-School Hanako-kun
Tsumugi KOTOBUKI,https://www.anime-planet.com/characters/tsumugi-kotobuki,https://cdn.anime-planet.com/characters/primary/tsumugi-kotobuki-1-190x267.jpg?t=1625965195,"Female, Blonde Hair","Band Member, Epic Eyebrows, High School Student, Musician, Pianist, Teenager, Wealthy",K-On!,K-On!
Meiko HONMA,https://www.anime-planet.com/characters/meiko-honma,https://cdn.anime-planet.com/characters/primary/meiko-honma-1-190x266.jpg?t=1625973012,"Female, Grey Hair","Barefoot, Eternal Optimist, Ghost",Anohana: The Flower We Saw That Day,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.
Ranpo EDOGAWA,https://www.anime-planet.com/characters/ranpo-edogawa,https://cdn.anime-planet.com/characters/primary/ranpo-edogawa-1-190x266.jpg?t=1626002784,"Male, Black Hair","Adult, Analytical, Closed Eyes, Detective, Hat",Bungo Stray Dogs,Bungo Stray Dogs
Uta,https://www.anime-planet.com/characters/uta-tokyo-ghoul,https://cdn.anime-planet.com/characters/primary/uta-tokyo-ghoul-1-190x297.jpg?t=1625991721,"Male, Black Hair","Artist, Exotic Eyes, Merchant, Monster, Piercings, Ponytail, Tattoo",Tokyo Ghoul,Tokyo Ghoul
Rin MATSUOKA,https://www.anime-planet.com/characters/rin-matsuoka,https://cdn.anime-planet.com/characters/primary/rin-matsuoka-1-190x266.jpg?t=1625981503,"Male, Magenta Hair","Athlete, Muscular, Sharp Teeth, Swimmer, Teenager",Free! Dive to the Future,High Speed!
Shura KIRIGAKURE,https://www.anime-planet.com/characters/shura-kirigakure,https://cdn.anime-planet.com/characters/primary/shura-kirigakure-1-285x399.webp?t=1729923768,"Female, Multicolored Hair","Adult, Demon Hunter, Exorcist, Heavy Drinker, Scantily-clad, Sword Fighter, Tattoo",Blue Exorcist,Blue Exorcist
Yasutora SADO,https://www.anime-planet.com/characters/yasutora-sado,https://cdn.anime-planet.com/characters/primary/yasutora-sado-1-190x266.jpg?t=1625965226,"Male, Brown Hair","Blinding Bangs, Dark-skinned, High School Student, Muscular, Superpowers, Teenager",Bleach,Bleach
Tooru OIKAWA,https://www.anime-planet.com/characters/tooru-oikawa,https://cdn.anime-planet.com/characters/primary/tooru-oikawa-1-190x266.jpg?t=1625991378,"Male, Brown Hair","Analytical, Athlete, High School Student, Team Captain, Teenager, Volleyball Player",Haikyuu!!,Haikyuu!!
Morgiana,https://www.anime-planet.com/characters/morgiana,https://cdn.anime-planet.com/characters/primary/morgiana-1-190x266.jpg?t=1625979170,"Female, Red Hair","Barefoot, Teenager",Magi: The Kingdom of Magic,Magi
Tenya IIDA,https://www.anime-planet.com/characters/tenya-iida,https://cdn.anime-planet.com/characters/primary/tenya-iida-1-190x285.jpg?t=1625992612,"Male, Blue Hair","Class Representative, Glasses, High School Student, Superpowers, Teenager",My Hero Academia,My Hero Academia
Mikaela HYAKUYA,https://www.anime-planet.com/characters/mikaela-hyakuya,https://cdn.anime-planet.com/characters/primary/mikaela-hyakuya-1-190x266.jpg?t=1625992873,"Male, Blonde Hair","Cape, Gloves, Hair Antenna, Orphan, Sword Fighter, Vampire",Seraph of the End,Owari no Seraph: Kyuuketsuki Mikaela no Monogatari (Light Novel)
Mey-Rin,https://www.anime-planet.com/characters/mey-rin,https://cdn.anime-planet.com/characters/primary/mey-rin-1-285x400.webp?t=1660952466,"Female, Red Hair","Clumsy, Maid, Opaque Nerd Glasses",Black Butler,Black Butler
Haru YOSHIDA,https://www.anime-planet.com/characters/haru-yoshida,https://cdn.anime-planet.com/characters/primary/haru-yoshida-1-285x399.webp?t=1692544781,"Male, Black Hair","High School Student, Hot-Headed, Teenager",Hozuki's Coolheadedness,My Little Monster
Louise Francoise LE BLANC DE LA VALLIERE,https://www.anime-planet.com/characters/louise-francoise-le-blanc-de-la-valliere,https://cdn.anime-planet.com/characters/primary/louise-francoise-le-blanc-de-la-valliere-1-190x266.jpg?t=1625966807,"Female, Pink Hair","Bossy, Cape, Hot-Headed, Magic User, Nobility, Teenager, Teleportation Powers, Tsundere, Whip Wielder",Cat Planet Cuties,Zero no Chukaima - Youchien nano!
Diane,https://www.anime-planet.com/characters/diane-nanatsu-no-taizai,https://cdn.anime-planet.com/characters/primary/diane-nanatsu-no-taizai-1-190x266.jpg?t=1625992145,"Female, Brown Hair","Earth Powers, Elemental Powers, Giant, Gloves, Hammer Wielder, Magic User, Oversized Weapon, Pigtails, Rosy Cheeks, Tattoo, Warrior",Gekidan Nanatsu no Taizai,Fairy Tail x The Seven Deadly Sins Christmas Special
Misato KATSURAGI,https://www.anime-planet.com/characters/misato-katsuragi,https://cdn.anime-planet.com/characters/primary/misato-katsuragi-1-190x266.jpg?t=1625966261,"Female, Purple Hair","Adult, Heavy Drinker, Military",Evangelion: 1.0 You Are (Not) Alone,Neon Genesis Evangelion
Jyushiro UKITAKE,https://www.anime-planet.com/characters/jyushiro-ukitake,https://cdn.anime-planet.com/characters/primary/jyushiro-ukitake-1-285x399.webp?t=1639965188,"Male, White Hair","Agent of the Afterlife, Dual Wielder, Shinigami, Sickly, Sword Fighter",Bleach,Bleach
Shana,https://www.anime-planet.com/characters/shana,https://cdn.anime-planet.com/characters/primary/shana-1-190x266.jpg?t=1625966475,"Female, Black Hair","Elemental Powers, Fire Powers, Hair Antenna, High School Student, Magic User, Orphan, Rapunzel Hair, Sword Fighter, Tsundere, Warrior",Dengeki Bunko 2007 Movie Festival Special,Shakugan no Shana
Totoro,https://www.anime-planet.com/characters/totoro,https://cdn.anime-planet.com/characters/primary/totoro-1-190x266.jpg?t=1625966024,"Male, Multicolored Hair",Youkai,Joshiraku,My Neighbor Totoro
Eikichi ONIZUKA,https://www.anime-planet.com/characters/eikichi-onizuka,https://cdn.anime-planet.com/characters/primary/eikichi-onizuka-1-130x200.jpg?t=1625966240,"Male, Blonde Hair","Biker, Flirt, Hot-Headed, Pervert, Piercings, Smoker",Great Teacher Onizuka,Bad Company
Lavi,https://www.anime-planet.com/characters/lavi,https://cdn.anime-planet.com/characters/primary/lavi-1-190x266.jpg?t=1625965566,"Male, Red Hair","Demon Hunter, Exorcist, Eye Patch, Flirt, Hammer Wielder, Headband, Photographic Memory, Piercings, Scarf, Teenager",D.Gray-man,D.Gray-Man
Shiina,https://www.anime-planet.com/characters/shiina-angel-beats,https://cdn.anime-planet.com/characters/primary/shiina-angel-beats-1-190x266.jpg?t=1625967858,"Female, Blue Hair","Ninja, Stoic",Angel Beats!,Angel Beats! Heaven's Door
Sousuke SAGARA,https://www.anime-planet.com/characters/sousuke-sagara,https://cdn.anime-planet.com/characters/primary/sousuke-sagara-1-190x266.jpg?t=1625965335,"Male, Black Hair","High School Student, Mecha Pilot, Mercenary, Military, Scar, Teenager",Full Metal Panic!,Full Metal Panic!
Gildarts CLIVE,https://www.anime-planet.com/characters/gildarts-clive,https://cdn.anime-planet.com/characters/primary/gildarts-clive-1-190x266.jpg?t=1625973093,"Male, Brown Hair","Adult, Artificial Limb, Disabled, Facial Hair, Magic User, Pervert",Fairy Tail,Fairy Tail
Kagura,https://www.anime-planet.com/characters/kagura-gintama,https://cdn.anime-planet.com/characters/primary/kagura-gintama-1-130x200.jpg?t=1625966115,"Female, Red Hair","Alien, Big Eater, Hair Buns, Poor, Teenager, Tomboy, Verbal Tic",3-nen Z-gumi Ginpachi-sensei: Tokuhou Eizou,Gintama
Sophie HATTER,https://www.anime-planet.com/characters/sophie-hatter,https://cdn.anime-planet.com/characters/primary/sophie-hatter-1-190x266.jpg?t=1625965923,"Female, Multicolored Hair","Braids, Cursebearer, Hair Ribbons, Ponytail, Tailor, Teenager",Howl's Moving Castle,Howl's Moving Castle
Ayame SOHMA,https://www.anime-planet.com/characters/ayame-sohma,https://cdn.anime-planet.com/characters/primary/ayame-sohma-1-190x266.jpg?t=1625966018,"Male, White Hair","Adult, Big Ego, Cursebearer, Flamboyant, Flirt, Merchant, Piercings, Rapunzel Hair, Tailor",Fruits Basket,Fruits Basket
Madoka KANAME,https://www.anime-planet.com/characters/madoka-kaname,https://cdn.anime-planet.com/characters/primary/madoka-kaname-1-190x267.jpg?t=1625971468,"Female, Pink Hair","Hair Ribbons, Magical Girl, Middle School Student, Pigtails, Teenager",ClariS: Luminous,Café☆Griefseed e Youkoso!
Kanna KAMUI,https://www.anime-planet.com/characters/kanna-kamui,https://cdn.anime-planet.com/characters/primary/kanna-kamui-1-190x267.jpg?t=1626005456,"Female, Multicolored Hair","Dragon, Elementary School Student, Exotic Eyes, Hair Ribbons, Headband, Horns, Human Guise, Kuudere, Pigtails, Rosy Cheeks, Shapeshifter, Tail",Miss Kobayashi's Dragon Maid,Miss Kobayashi's Dragon Maid
Hajime NAGUMO,https://www.anime-planet.com/characters/hajime-nagumo-arifureta-from-commonplace-to-worlds-strongest,https://cdn.anime-planet.com/characters/primary/hajime-nagumo-arifureta-from-commonplace-to-worlds-strongest-1-190x266.jpg?t=1625994332,"Male, White Hair","Analytical, Artificial Limb, Earth Powers, Elemental Powers, Eye Patch, Gunslinger, High School Student, Inventor, Lightning Powers, Magic User, Otaku, Person in a Strange World, Ruthless, Scarf, Teenager",Arifureta: From a Detour to the World's Strongest,Arifureta: From Commonplace to World's Strongest
Keima KATSURAGI,https://www.anime-planet.com/characters/keima-katsuragi,https://cdn.anime-planet.com/characters/primary/keima-katsuragi-1-190x266.jpg?t=1625970256,"Male, Brown Hair","2-D Lover, Analytical, Choker, Glasses, High School Student, Manipulative, Otaku, Scarf, Teenager, Tone Deaf, Video Gamer",Nonstop!! Hunters,Kami Nomi zo Shiru Sekai
Hatori SOHMA,https://www.anime-planet.com/characters/hatori-sohma,https://cdn.anime-planet.com/characters/primary/hatori-sohma-1-190x266.jpg?t=1625966017,"Male, Black Hair","Adult, Blinding Bangs, Cursebearer, Doctor, Smoker",Fruits Basket,Fruits Basket
Mashiro SHIINA,https://www.anime-planet.com/characters/mashiro-shiina,https://cdn.anime-planet.com/characters/primary/mashiro-shiina-1-190x266.jpg?t=1625979188,"Female, Blonde Hair","Airhead, High School Student, Kuudere, Mangaka, Photographic Memory, Stoic, Teenager, Transfer Student",The Pet Girl of Sakurasou,The Pet Girl of Sakurasou
Asta,https://www.anime-planet.com/characters/asta-black-clover,https://cdn.anime-planet.com/characters/primary/asta-black-clover-1-190x285.jpg?t=1625996596,"Male, Grey Hair","Hair Antenna, Headband, Hyperactive, Knight, Muscular, Orphan, Sword Fighter, Teenager",Black Clover,Black Clover
Ami KAWASHIMA,https://www.anime-planet.com/characters/ami-kawashima,https://cdn.anime-planet.com/characters/primary/ami-kawashima-1-190x285.jpg?t=1625965238,"Female, Blue Hair","High School Student, Model, Teenager",Okami-san & Her Seven Companions,Toradora!
Dabi,https://www.anime-planet.com/characters/dabi,https://cdn.anime-planet.com/characters/primary/dabi-1-190x266.jpg?t=1625996469,"Male, Black Hair","Cruel, Elemental Powers, Fire Powers, Piercings, Ruthless, Scar, Superpowers",My Hero Academia 2,My Hero Academia
Patricia THOMPSON,https://www.anime-planet.com/characters/patricia-thompson,https://cdn.anime-planet.com/characters/primary/patricia-thompson-1-190x266.jpg?t=1625965740,"Female, Blonde Hair","Hat, Hyperactive, Rosy Cheeks, Shapeshifter, Teenager",Soul Eater,Soul Eater
Mako MANKANSHOKU,https://www.anime-planet.com/characters/mako-mankanshoku,https://cdn.anime-planet.com/characters/primary/mako-mankanshoku-1-190x282.jpg?t=1625989826,"Female, Brown Hair","Airhead, Big Eater, High School Student, Hyperactive, Poor, Sleepyhead, Teenager",Kill La Kill,Kill la Kill
Shino ABURAME,https://www.anime-planet.com/characters/shino-aburame,https://cdn.anime-planet.com/characters/primary/shino-aburame-1-285x399.webp?t=1725545925,"Male, Black Hair","Beastmaster, Headband, Ninja, Sunglasses",Boruto: Naruto Next Generations,Boruto
Mikuru ASAHINA,https://www.anime-planet.com/characters/mikuru-asahina,https://cdn.anime-planet.com/characters/primary/mikuru-asahina-1-190x266.jpg?t=1625965378,"Female, Brown Hair","Clumsy, Crybaby, High School Student, Shy, Teenager",Melancholy of Haruhi-chan Suzumiya,Haruhi Suzumiya Series (Light Novel)
Shota KAZEHAYA,https://www.anime-planet.com/characters/shota-kazehaya,https://cdn.anime-planet.com/characters/primary/shota-kazehaya-1-190x266.jpg?t=1625965363,"Male, Black Hair","Athlete, Baseball Player, School Idol, Teenager",Kimi ni Todoke - From Me To You,Kimi ni Todoke: From Me to You
Konan,https://www.anime-planet.com/characters/konan,https://cdn.anime-planet.com/characters/primary/konan-1-130x187.jpg?t=1625967556,"Female, Blue Hair","Ninja, Orphan, Piercings",Naruto Shippuden,Naruto
Eucliwood HELLSCYTHE,https://www.anime-planet.com/characters/eucliwood-hellscythe,https://cdn.anime-planet.com/characters/primary/eucliwood-hellscythe-1-285x400.jpg?t=1629055988,"Female, White Hair","Armor, Hair Ribbons, Kuudere, Magic User, Mute, Necromancer, Scythe Wielder, Stoic",Is this a Zombie?,Is this a Zombie?
Rika FURUDE,https://www.anime-planet.com/characters/rika-furude,https://cdn.anime-planet.com/characters/primary/rika-furude-1-190x267.jpg?t=1625966335,"Female, Purple Hair","Child, Elementary School Student, Orphan, Shrine Maiden, Verbal Tic",Higurashi no Naku Koro ni Kaku Outbreak,Higurashi no Naku Koro ni Gou Comic Anthology
Master Roshi,https://www.anime-planet.com/characters/master-roshi,https://cdn.anime-planet.com/characters/primary/master-roshi-1-190x266.jpg?t=1625966203,Male,"Bald, Breathtaking Beard, Cane, Elderly, Facial Hair, Magnificent Mustache, Martial Artist, Pervert, Sunglasses",Dragon Ball,Cross Epoch
Yona,https://www.anime-planet.com/characters/yona,https://cdn.anime-planet.com/characters/primary/yona-1-190x286.jpg?t=1625981320,"Female, Red Hair","Archer, Orphan, Royalty, Teenager, Traveler",Yona of the Dawn,Yona of the Dawn
Diablo,https://www.anime-planet.com/characters/diablo-isekai-maou-to-shoukan-shoujo-dorei-majutsu,https://cdn.anime-planet.com/characters/primary/diablo-isekai-maou-to-shoukan-shoujo-dorei-majutsu-1-190x266.jpg?t=1626005869,"Male, Grey Hair","Adult, Cape, Darkness Powers, Earth Powers, Elemental Powers, Fire Powers, Gloves, Gravity Manipulator, Ice Powers, Lightning Powers, Light Powers, Magic User, Person in a Strange World, Poison User, Staff Wielder, Tattoo, Teleportation Powers, Water Powers, Wind Powers",How NOT to Summon a Demon Lord,How NOT to Summon a Demon Lord
Kota HIRANO,https://www.anime-planet.com/characters/kota-hirano,https://cdn.anime-planet.com/characters/primary/kota-hirano-1-190x267.jpg?t=1625969032,"Male, Black Hair","Glasses, Gunslinger, High School Student, Overweight, Teenager",Highschool of the Dead,Gakuen Mokushiroku: Highschool of the Head
Ikkaku MADARAME,https://www.anime-planet.com/characters/ikkaku-madarame,https://cdn.anime-planet.com/characters/primary/ikkaku-madarame-1-190x266.jpg?t=1625965493,Male,"Agent of the Afterlife, Bald, Hot-Headed, Lancer, Shinigami",Bleach,Bleach
Dante,https://www.anime-planet.com/characters/dante,https://cdn.anime-planet.com/characters/primary/dante-1-190x266.jpg?t=1625966484,"Male, White Hair","Adult, Demon, Demon Hunter, Dual Wielder, Half-Breed, Mercenary, Sweet Tooth, Weapon Master",Devil May Cry,Devil May Cry 3
Subaru NATSUKI,https://www.anime-planet.com/characters/subaru-natsuki,https://cdn.anime-planet.com/characters/primary/subaru-natsuki-1-190x266.jpg?t=1625995341,"Male, Black Hair","Person in a Strange World, Teenager, Time Manipulator, Time Traveler",He Wei Dao x Re:ZERO: Starting Life in Another World,Re:ZERO -Starting Life in Another World- Chapter 1: A Day in the Capital
Virgo,https://www.anime-planet.com/characters/virgo,https://cdn.anime-planet.com/characters/primary/virgo-1-190x266.jpg?t=1625966725,"Female, Pink Hair","Chain Fighter, Earth Powers, Elemental Powers, Magical Familiar, Maid, Masochistic, Stoic",Fairy Tail,Fairy Tail
Nana,https://www.anime-planet.com/characters/nana-elfen-lied,https://cdn.anime-planet.com/characters/primary/nana-elfen-lied-1-190x266.jpg?t=1625965979,"Female, Pink Hair","Child, Hair Ribbons, Headband, Horns",Elfen Lied,Elfen Lied
Yumeko JABAMI,https://www.anime-planet.com/characters/yumeko-jabami,https://cdn.anime-planet.com/characters/primary/yumeko-jabami-1-190x266.jpg?t=1626004017,"Female, Black Hair","Gambler, High School Student, Photographic Memory, Teenager, Transfer Student",Kakegurui,Kakegurui: Compulsive Gambler
Nanami MOMOZONO,https://www.anime-planet.com/characters/nanami-momozono,https://cdn.anime-planet.com/characters/primary/nanami-momozono-1-190x266.jpg?t=1625977346,"Female, Brown Hair","Deity, High School Student, Poor, Rosy Cheeks, Teenager",Kamisama Kiss,Kamisama Kiss
Silica,https://www.anime-planet.com/characters/silica,https://cdn.anime-planet.com/characters/primary/silica-1-190x266.jpg?t=1625978380,"Female, Brown Hair","Armor, Gloves, Hair Ribbons, Knife Fighter, Monster Tamer, Person in a Strange World, Pigtails, Teenager, Video Gamer, Warrior",Sword Art Online,Sword Art Online 4-koma
Inori YUZURIHA,https://www.anime-planet.com/characters/inori-yuzuriha,https://cdn.anime-planet.com/characters/primary/inori-yuzuriha-1-190x266.jpg?t=1625974694,"Female, Pink Hair","Hair Ribbons, High School Student, Kuudere, Singer, Stoic, Teenager, Terrorist, Transfer Student",EGOIST: All Alone With You,Guilty Crown
Bell CRANEL,https://www.anime-planet.com/characters/bell-cranel,https://cdn.anime-planet.com/characters/primary/bell-cranel-1-190x266.jpg?t=1625993537,"Male, White Hair","Armor, Elemental Powers, Fire Powers, Knife Fighter, Magic User, Orphan, Poor, Teenager",Is It Wrong to Try to Pick Up Girls in a Dungeon?,Is it Wrong to Try to Pick Up Girls in a Dungeon?
Chizuru YOSHIDA,https://www.anime-planet.com/characters/chizuru-yoshida,https://cdn.anime-planet.com/characters/primary/chizuru-yoshida-1-190x266.jpg?t=1625965362,"Female, Brown Hair","Athlete, Crybaby, High School Student, Teenager, Tomboy",Kimi ni Todoke - From Me To You,Kimi ni Todoke: From Me to You
Issei HYOUDOU,https://www.anime-planet.com/characters/issei-hyoudou,https://cdn.anime-planet.com/characters/primary/issei-hyoudou-1-190x266.jpg?t=1625975952,"Male, Brown Hair","Demon, High School Student, Pervert, Power Suit, Teenager",High School DxD,High School DxD
Migi,https://www.anime-planet.com/characters/migi,https://cdn.anime-planet.com/characters/primary/migi-1-190x270.jpg?t=1625977921,"Alien, Shared Body",,Parasyte -the maxim-,Fairy Tail S: Tales from Fairy Tail
Sasori,https://www.anime-planet.com/characters/sasori,https://cdn.anime-planet.com/characters/primary/sasori-1-190x238.jpg?t=1625965466,"Male, Red Hair","Adult, Ninja, Poison User, Puppeteer",Naruto Shippuden,Naruto
Mina ASHIDO,https://www.anime-planet.com/characters/mina-ashido,https://cdn.anime-planet.com/characters/primary/mina-ashido-1-190x285.jpg?t=1625993008,"Female, Pink Hair","Exotic Eyes, High School Student, Horns, Superpowers, Teenager",My Hero Academia,My Hero Academia
Denji,https://www.anime-planet.com/characters/denji,https://cdn.anime-planet.com/characters/primary/denji-1-285x399.webp?t=1667940715,"Male, Blonde Hair","Demon Hunter, Pervert, Shared Body, Sharp Teeth, Teenager",Chainsaw Man,Chainsaw Man
Sousuke AIZEN,https://www.anime-planet.com/characters/sousuke-aizen,https://cdn.anime-planet.com/characters/primary/sousuke-aizen-1-190x266.jpg?t=1625965488,"Male, Brown Hair","Agent of the Afterlife, Analytical, Combat Illusionist, Glasses, Invisibility Powers, Shinigami, Sword Fighter",Bleach,Bleach
Mai SAKURAJIMA,https://www.anime-planet.com/characters/mai-sakurajima,https://cdn.anime-planet.com/characters/primary/mai-sakurajima-1-190x266.jpg?t=1626005530,"Female, Black Hair","Actor, High School Student, Teenager",Rascal Does Not Dream of a Dreaming Girl,Rascal Does Not Dream of Bunny Girl Senpai
Spirit ALBARN,https://www.anime-planet.com/characters/spirit-albarn,https://cdn.anime-planet.com/characters/primary/spirit-albarn-1-130x180.jpg?t=1625965242,"Male, Red Hair","Adult, Pervert, Shapeshifter, Single Parent, Smoker, Teacher",Soul Eater,Soul Eater
Power,https://www.anime-planet.com/characters/power,https://cdn.anime-planet.com/characters/primary/power-1-285x399.webp?t=1666149372,"Female, Pink Hair","Blood Power, Demon, Demon Hunter, Exotic Eyes, Horns, Racial Purist, Selfish, Sharp Teeth",Chainsaw Man,Chainsaw Man
Shuhei HISAGI,https://www.anime-planet.com/characters/shuhei-hisagi,https://cdn.anime-planet.com/characters/primary/shuhei-hisagi-1-285x399.webp?t=1640812024,"Male, Black Hair","Agent of the Afterlife, Chain Fighter, Choker, Scar, Scythe Wielder, Shinigami, Tattoo",Bleach,Bleach
Lisbeth,https://www.anime-planet.com/characters/lisbeth,https://cdn.anime-planet.com/characters/primary/lisbeth-1-190x266.jpg?t=1625978427,"Female, Pink Hair","Blacksmith, Freckles, Person in a Strange World, Teenager, Video Gamer",Sword Art Online,Sword Art Online 4-koma
Albedo,https://www.anime-planet.com/characters/albedo,https://cdn.anime-planet.com/characters/primary/albedo-1-190x262.jpg?t=1625994545,"Female, Black Hair","Artificial Intelligence (AI), Axe Wielder, Hair Antenna, Horns, Succubus, Teleportation Powers, Wings",Isekai Quartet,Overlord
Yu KANDA,https://www.anime-planet.com/characters/yu-kanda,https://cdn.anime-planet.com/characters/primary/yu-kanda-1-285x399.webp?t=1701974734,"Male, Blue Hair","Demon Hunter, Exorcist, Hot-Headed, Ponytail, Sword Fighter, Tattoo, Teenager",D.Gray-man,D.Gray-Man
Clare,https://www.anime-planet.com/characters/clare,https://cdn.anime-planet.com/characters/primary/clare-1-190x266.jpg?t=1625966249,"Female, Blonde Hair","Cape, Demon Hunter, Stoic, Sword Fighter, Vengeful, Warrior",Claymore,Claymore
Tenten,https://www.anime-planet.com/characters/tenten,https://cdn.anime-planet.com/characters/primary/tenten-1-285x399.webp?t=1725508912,"Female, Brown Hair","Hair Buns, Headband, Ninja, Weapon Master",Boruto: Naruto Next Generations,Boruto
Akatsuki,https://www.anime-planet.com/characters/akatsuki-log-horizon,https://cdn.anime-planet.com/characters/primary/akatsuki-log-horizon-1-190x266.jpg?t=1625989887,"Female, Purple Hair","Adult, Person in a Strange World, Ponytail, Sword Fighter, Video Gamer",Log Horizon,Log Horizon
Suguha KIRIGAYA,https://www.anime-planet.com/characters/suguha-kirigaya,https://cdn.anime-planet.com/characters/primary/suguha-kirigaya-1-190x291.jpg?t=1625978288,"Female, Black Hair","Magic User, Martial Artist, Middle School Student, Sword Fighter, Teenager, Video Gamer",Sword Art Online,Sword Art Online: Aincrad
Kaonashi,https://www.anime-planet.com/characters/kaonashi,https://cdn.anime-planet.com/characters/primary/kaonashi-1-190x266.jpg?t=1625965921,Male,"Big Eater, Youkai",Spirited Away,Spirited Away
Elizabeth LIONES,https://www.anime-planet.com/characters/elizabeth-liones,https://cdn.anime-planet.com/characters/primary/elizabeth-liones-1-190x267.jpg?t=1625992106,"Female, Grey Hair","Blinding Bangs, Healing Powers, Heterochromia, Rosy Cheeks, Royalty, Waiter",Gekidan Nanatsu no Taizai,Fairy Tail x The Seven Deadly Sins Christmas Special
Chitoge KIRISAKI,https://www.anime-planet.com/characters/chitoge-kirisaki,https://cdn.anime-planet.com/characters/primary/chitoge-kirisaki-1-183x300.jpg?t=1625980992,"Female, Blonde Hair","Deadly Chef, Hair Ribbons, High School Student, Hot-Headed, Teenager, Transfer Student, Tsundere, Wealthy",Nisekoi,Koi no Kamisama
Himiko TOGA,https://www.anime-planet.com/characters/himiko-toga,https://cdn.anime-planet.com/characters/primary/himiko-toga-1-190x266.jpg?t=1625996468,"Female, Blonde Hair","Assassin, Bloodthirsty, Hair Buns, Knife Fighter, Sharp Teeth, Superpowers, Teenager",My Hero Academia 2,My Hero Academia
Agil,https://www.anime-planet.com/characters/agil,https://cdn.anime-planet.com/characters/primary/agil-1-190x266.jpg?t=1625974517,Male,"Adult, Axe Wielder, Bald, Dark-skinned, Facial Hair, Merchant, Muscular, Person in a Strange World, Piercings, Video Gamer, Warrior",Sword Art Online,Sword Art Online 4-koma
